Running Ez Detect

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3325    0.002    0.000    0.003    0.000 posixpath.py:61(isabs)
     9433    0.008    0.000    0.015    0.000 posixpath.py:71(join)
       57    0.000    0.000    0.000    0.000 process.py:137(name)
       57    0.000    0.000    0.000    0.000 process.py:35(current_process)
      179    0.000    0.000    0.000    0.000 py3k.py:37(asstr)
       11    0.000    0.000    0.001    0.000 re.py:222(compile)
        8    0.000    0.000    0.000    0.000 re.py:240(escape)
       11    0.000    0.000    0.001    0.000 re.py:278(_compile)
        8    0.000    0.000    0.000    0.000 sre_compile.py:221(_compile_charset)
        8    0.000    0.000    0.000    0.000 sre_compile.py:248(_optimize_charset)
        7    0.000    0.000    0.000    0.000 sre_compile.py:386(_simple)
        2    0.000    0.000    0.000    0.000 sre_compile.py:412(_compile_info)
        4    0.000    0.000    0.000    0.000 sre_compile.py:513(isstring)
        2    0.000    0.000    0.000    0.000 sre_compile.py:516(_code)
        2    0.000    0.000    0.001    0.000 sre_compile.py:531(compile)
     21/2    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
       21    0.000    0.000    0.000    0.000 sre_parse.py:105(__init__)
       29    0.000    0.000    0.000    0.000 sre_parse.py:153(__len__)
       98    0.000    0.000    0.000    0.000 sre_parse.py:157(__getitem__)
        7    0.000    0.000    0.000    0.000 sre_parse.py:161(__setitem__)
       49    0.000    0.000    0.000    0.000 sre_parse.py:165(append)
    33/15    0.000    0.000    0.000    0.000 sre_parse.py:167(getwidth)
        2    0.000    0.000    0.000    0.000 sre_parse.py:217(__init__)
       74    0.000    0.000    0.000    0.000 sre_parse.py:226(__next)
       32    0.000    0.000    0.000    0.000 sre_parse.py:242(match)
       60    0.000    0.000    0.000    0.000 sre_parse.py:247(get)
       22    0.000    0.000    0.000    0.000 sre_parse.py:276(tell)
       12    0.000    0.000    0.000    0.000 sre_parse.py:362(_escape)
      8/2    0.000    0.000    0.000    0.000 sre_parse.py:429(_parse_sub)
     12/5    0.000    0.000    0.000    0.000 sre_parse.py:491(_parse)
        2    0.000    0.000    0.000    0.000 sre_parse.py:70(__init__)
       15    0.000    0.000    0.000    0.000 sre_parse.py:75(groups)
        5    0.000    0.000    0.000    0.000 sre_parse.py:78(opengroup)
        2    0.000    0.000    0.000    0.000 sre_parse.py:797(fix_flags)
        2    0.000    0.000    0.000    0.000 sre_parse.py:819(parse)
        5    0.000    0.000    0.000    0.000 sre_parse.py:90(closegroup)
        1    0.000    0.000 2548.329 2548.329 threading.py:1022(join)
        1    0.000    0.000 2548.328 2548.328 threading.py:1060(_wait_for_tstate_lock)
       57    0.000    0.000    0.000    0.000 threading.py:1074(name)
        1    0.000    0.000    0.000    0.000 threading.py:1118(daemon)
       59    0.000    0.000    0.000    0.000 threading.py:1224(current_thread)
        1    0.000    0.000    0.000    0.000 threading.py:213(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:237(__enter__)
        1    0.000    0.000    0.000    0.000 threading.py:240(__exit__)
        1    0.000    0.000    0.000    0.000 threading.py:246(_release_save)
        1    0.000    0.000    0.000    0.000 threading.py:249(_acquire_restore)
        1    0.000    0.000    0.000    0.000 threading.py:252(_is_owned)
        1    0.000    0.000    0.000    0.000 threading.py:261(wait)
        1    0.000    0.000    0.000    0.000 threading.py:496(__init__)
        2    0.000    0.000    0.000    0.000 threading.py:504(is_set)
        1    0.000    0.000    0.000    0.000 threading.py:531(wait)
        1    0.000    0.000    0.000    0.000 threading.py:755(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:826(start)
        1    0.000    0.000    0.000    0.000 threading.py:964(_stop)
        3    0.000    0.000    0.000    0.000 tokenize.py:346(_get_normal_name)
        5    0.000    0.000    0.000    0.000 tokenize.py:357(detect_encoding)
        7    0.000    0.000    0.000    0.000 tokenize.py:381(read_or_stop)
        7    0.000    0.000    0.000    0.000 tokenize.py:387(find_cookie)
        5    0.000    0.000    0.000    0.000 tokenize.py:450(open)
        2    0.000    0.000    0.000    0.000 transforms.py:63(_to_const)
        1    0.000    0.000    0.000    0.000 transforms.py:88(__init__)
        1    0.000    0.000    0.000    0.000 twodim_base.py:140(eye)
        1    0.000    0.000    0.000    0.000 utils.py:256(_create_chs)
      228    0.000    0.000    0.000    0.000 utils.py:518(__getattr__)
        1    0.000    0.000    0.098    0.098 utils.py:84(_get_argvalues)
        1   10.089   10.089   11.150   11.150 utils.py:88(_mult_cal_one)
      5/1    0.000    0.000   12.745   12.745 utils.py:901(verbose)
     2244    0.006    0.000    0.009    0.000 uuid.py:106(__init__)
     2244    0.004    0.000    0.004    0.000 uuid.py:226(__str__)
     2244    0.003    0.000    0.020    0.000 uuid.py:601(uuid4)
       26    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7feb06bf4360}
        3    0.000    0.000    0.000    0.000 {built-in method _codecs.lookup}
       44    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        2    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        2    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
     9372    0.001    0.000    0.001    0.000 {built-in method _stat.S_ISLNK}
        2    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      116    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
     2265    0.001    0.000    0.004    0.000 {built-in method builtins.any}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      256    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
13228/13171    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.id}
    33166    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
2697/2686    0.000    0.000    0.000    0.000 {built-in method builtins.len}
       26    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       62    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
       27    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        3    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
     2244    0.002    0.000    0.002    0.000 {built-in method from_bytes}
       15    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.017    0.009    0.017    0.009 {built-in method numpy.core.multiarray.arange}
       94    1.061    0.011    1.061    0.011 {built-in method numpy.core.multiarray.array}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.concatenate}
        4    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.empty}
    19321    0.526    0.000    0.530    0.000 {built-in method numpy.core.multiarray.fromfile}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.where}
       68    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.zeros}
        9    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
       57    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     9424    0.017    0.000    0.017    0.000 {built-in method posix.lstat}
     1032    0.003    0.000    0.003    0.000 {built-in method posix.stat}
     2244    0.008    0.000    0.008    0.000 {built-in method posix.urandom}
       58    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        8    0.000    0.000    0.000    0.000 {built-in method sys.getdefaultencoding}
        1    0.000    0.000    0.000    0.000 {built-in method time.localtime}
        1    0.000    0.000    0.000    0.000 {built-in method time.mktime}
       59    0.000    0.000    0.000    0.000 {built-in method time.time}
        7    0.000    0.000    0.000    0.000 {built-in method utcnow}
        1    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      114    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
        5 2548.329  509.666 2548.329  509.666 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
    19994    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
       18    0.001    0.000    0.002    0.000 {method 'array_from_header' of 'scipy.io.matlab.mio5_utils.VarReader5' objects}
     1944    0.006    0.000    0.006    0.000 {method 'astype' of 'numpy.ndarray' objects}
        8    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
     2244    0.001    0.000    0.001    0.000 {method 'count' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
      186    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
